"Espécie","Bioma","Estado","Compartimento","Peso","d mín.","d máx.","R2/R2aj","Syx","Equação","Autor"
"Várias","Outro","Outro","Acima 
(tronco+galhos+folhas)","Seco","10,0","-","0,92","-","21,297022-6,952649*(d)+0,7403*(d^2)","Brown e Iverson (1992)"
"Várias","Outro","Outro","Acima 
(tronco+galhos+folhas)","Seco","5,0","40,0","0,67","-","34,4703-8,0671*d+0,6589*(d^2)","Brown et al. (1989)³"
"Várias","Outro","Outro","Acima 
(tronco+galhos+folhas)","Seco","5,0","130,0","0,90","-","13,2579-4,8945*(d)+0,6713*(d^2)","Brown et al. (1989)³"
"Várias","Outro","Outro","Acima 
(tronco+galhos+folhas)","Seco","5,0","130,0","0,90","-","exp(-3,3012+0,9439*log((d^2)*ht))","Brown et al. (1989)³"
"Várias","Outro","Outro","Acima 
(tronco+galhos+folhas)","Seco","10,0","140,0","0,97","-","exp(-2,00+2,42*log(d))","Chave et al. (2001)"
"Várias","Outro","Outro","Acima 
(tronco+galhos+folhas)","Seco","1,0","10,0","0,91","-","exp(-1,8967+2,1135*log(d))","Djomo et al. (2010)5"
"Várias","Outro","Outro","Acima 
(tronco+galhos+folhas)","Seco","1,0","79,0","0,96","-","exp(-2,1079+2,3278*log(d))","Djomo et al. (2010)5"
"Várias","Outro","Outro","Acima 
(tronco+galhos+folhas)","Seco","1,0","79,0","0,96","-","exp(-3,0788+0,9066*log((d^2)*ht))","Djomo et al. (2010)5"
"Várias","Outro","Outro","Acima 
(tronco+galhos+folhas)","Seco","4,9","87,7","0,93","38,7%","0,10419*d^2,491453","Huy et al. (2016)6"
"Várias","Outro","Outro","Acima 
(tronco+galhos+folhas)","Seco","4,9","87,7","0,89","35,8%","25,15789-7,717925*d+0,82106*(d^2)","Huy et al. (2016)6"
"Várias","Outro","Outro","Acima 
(tronco+galhos+folhas)","Seco","4,9","87,7","0,93","37,1%","15,90167-
4,926814*d+0,59812*(d^2)+0,00409*(d^3)","Huy et al. (2016)6"
"Várias","Outro","Outro","Acima 
(tronco+galhos+folhas)","Seco","4,9","87,7","0,95","31,6%","266,858*((d/100)^2*ht)^0,972330","Huy et al. (2016)6"
"Várias","Outro","Outro","Acima 
(tronco+galhos+folhas)","Seco","4,9","87,7","0,94","32,7%","0,05054*(d^2,126979)*(ht^0,64600)","Huy et al. (2016)6"
"Várias","Outro","Outro","Acima 
(tronco+galhos+folhas)","Seco","1,0","44,1","0,99","-","0,1525*(d^2,34)","Kenzo et al. (2009)7"
"Várias","Outro","Outro","Acima 
(tronco+galhos+folhas)","Seco","2,0","44,2","0,99","-","0,1083*(((d^2)*ht)^0,80)","Kenzo et al. (2009)7"
"Várias","Outro","Outro","Acima 
(tronco+galhos+folhas)","Seco","3,0","44,3","0,97","-","0,0558*(ht^2,53)","Kenzo et al. (2009)7"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"³ florestas tropicais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4florestas tropicais úmidas de terras-baixas – dipterocarpus 5florestas tropicais úmidas de terras-baixas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6florestas decíduas de folhosas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7floresta tropical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Várias","Outro","Outro","Acima 
(tronco+galhos+folhas)","Seco","7,6","48,1","0,95","-","0,066*(d^2,59)","Ketterings et al. (2001)"
"Várias","Outro","Outro","Acima 
(tronco+galhos+folhas)","Seco","3,8","57,5","0,99","-","10^(-1,247+2,663*log10(d))","Martin et al. (1998)"
"Várias","Outro","Outro","Acima 
(tronco+galhos+folhas)","Seco","8,1","100,0","0,90","39,4%","0,465*(d^2,202)","Overman et al. (1994)8"
"Várias","Outro","Outro","Acima 
(tronco+galhos+folhas)","Seco","8,1","100,0","0,94","62,8%","1,120*(d^2)","Overman et al. (1994)8"
"Várias","Outro","Outro","Acima 
(tronco+galhos+folhas)","Seco","8,1","100,0","0,97","25,6%","exp(-1,966+1,242*log(d^2))","Overman et al. (1994)8"
"Várias","Outro","Outro","Acima 
(tronco+galhos+folhas)","Seco","8,1","100,0","0,97","24,3%","exp(-3,843+1,035*log(d^2*ht))","Overman et al. (1994)8"
"Várias","Outro","Outro","Acima 
(tronco+galhos+folhas)","Seco","8,1","45,0","0,81","42,8%","0,749*(d^2,011)","Overman et al. (1994)8"
"Várias","Outro","Outro","Acima 
(tronco+galhos+folhas)","Seco","8,1","45,0","0,93","43,5%","0,780*(d^2)","Overman et al. (1994)8"
"Várias","Outro","Outro","Acima 
(tronco+galhos+folhas)","Seco","8,1","45,0","0,93","27,5%","exp(-2,059+1,1256*log(d^2))","Overman et al. (1994)8"
"Várias","Outro","Outro","Acima 
(tronco+galhos+folhas)","Seco","8,1","45,0","0,94","26,3%","exp(-3,555+1,002*log(d^2*ht))","Overman et al. (1994)8"
"Várias","Outro","Outro","Acima 
(tronco+galhos+folhas)","Seco","-","-","0,57","43,7%","-0,060+0,227*(d^2)+0,002*ht","Sah et al. (2004)"
"Várias","Outro","Outro","Acima 
(tronco+galhos+folhas)","Seco","1,0","5,0","0,93","-","-0,292+0,369*d-0,087*ht","Saldarriaga et al. (1988)¹"
"Várias","Outro","Outro","Acima 
(tronco+galhos+folhas)","Seco","60,0","105,0","0,71","21,0%","exp(0,76+0,00015*d^2)*1000","Segura e Kanninen (2005)¹"
"Várias","Outro","Outro","Acima 
(tronco+galhos+folhas)","Seco","60,0","105,0","0,71","21,2%","exp(-7,27+2,07*log(d))*1000","Segura e Kanninen (2005)¹"
"Várias","Outro","Outro","Acima 
(tronco+galhos+folhas)","Seco","60,0","105,0","0,66","158,0%","(-7,45+0,17*d)*1000","Segura e Kanninen (2005)¹"
"Várias","Outro","Outro","Acima 
(tronco+galhos+folhas)","Seco","60,0","105,0","0,64","162,2%","(-54,13+13,86*log(d))*1000","Segura e Kanninen (2005)¹"
"Várias","Outro","Outro","Acima 
(tronco+galhos+folhas)","Seco","60,0","105,0","0,87","14,0%","exp(-
6,93+1,86*log(d)+0,0045*log(d)*ht)*1000","Segura e Kanninen (2005)¹"
"Várias","Outro","Outro","Acima 
(tronco+galhos+folhas)","Seco","4,5","105,0","0,99","-","2,903*10^-2*((d^2)*ht)^0,9813","Yamakura et al. (1986)5"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"¹ florestas tropicais úmidas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5florestas tropicais úmidas de terras-baixas 8florestas ombrófila madura",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
