"Espécie","Bioma","Estado","Compartimento","Peso","d mín.","d máx.","R2/R2aj","Syx","Equação","Autor"
"Pinus caribaea var. hondurensis (Sénécl.) W. H. Barrett & Golfari","Mata Atlântica","BA","Acima 
(tronco+galhos+folhas)","Seco","5,8","23,8","86,94","26,6%","-17,36+0,09*(d^2)+0,02*((d^2)*ht)+2,37*ht","Lima et al. (2016)"
"Pinus caribaea var. hondurensis (Sénécl.) W. H. Barrett & Golfari","Mata Atlântica","BA","Acima 
(tronco+galhos+folhas)","Seco","5,8","23,8","90,46","27,5%","exp(-4,02 +1,83*log(d)+1,36*log(ht))","Lima et al. (2016)"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pinus caribaea var. hondurensis (Sénécl.) W. H. Barrett & Golfari","Mata Atlântica","BA","Acima 
(tronco+galhos+folhas)","Seco","5,8","23,8","74,47","32,0%","-55,88+12,50*(d^0,5)*log(d)","Lima et al. (2016)"
"Pinus caribaea var. hondurensis (Sénécl.) W. H. Barrett & Golfari","Mata Atlântica","BA","Acima 
(tronco+galhos+folhas)","Seco","5,8","23,8","91,28","26,4%","-161,18+14,65*d-0,11*(d^2)-
2,99*(d*ht)+0,10*((d^2)*ht)+26,00*ht","Lima et al. (2016)"
"Pinus spp.","Mata Atlântica","PR","Abaixo (raízes)","Seco","3,6","35,9","0,82","29,3%","-9,3709+1,2439*d+0,0122*(d^2)","Schikowski et al. (2013)"
"Pinus spp.","Mata Atlântica","PR","Abaixo (raízes)","Seco","3,6","35,9","0,82","29,5%","-11,8026+1,5909*d+0,0001*(d^2)*ht","Schikowski et al. (2013)"
"Pinus spp.","Mata Atlântica","PR","Abaixo (raízes)","Seco","3,6","35,9","0,82","28,9%","-3,0203+0,0729*(d^2)-0,0011*(d^2)*ht","Schikowski et al. (2013)"
"Pinus spp.","Mata Atlântica","PR","Abaixo (raízes)","Seco","3,6","35,9","0,83","28,3%","-10,2883+0,6824*d+1,3065*ht","Schikowski et al. (2013)"
