"Espécie","Bioma","Estado","Compartimento","Peso","d mín.","d máx.","R2/R2aj","Syx","Equação","Autor"
"Bertholletia excelsa Bonpl.","Amazônia","AM","Acima 
(tronco+galhos+folhas)","Seco","6,0","18,0","0,96","29,8%","-185,249+26,312*d-6,091*ht","Lima (2011)"
"Cedrela odorata L.","Amazônia","MT","Total (abaixo+acima)","Seco","10,0","23,0","0,86","-","-113,5444+12,079*d","Robortella (2010)"
"Cedrela odorata L.","Amazônia","MT","Total (abaixo+acima)","Seco","10,0","23,0","0,79","-","0,191+0,027*((d^2)*ht)","Robortella (2010)"
"Cedrela odorata L.","Amazônia","MT","Total (abaixo+acima)","Seco","10,0","23,0","0,87","-","-89,979+12,693*d-3,203*ht","Robortella (2010)"
"Cedrela odorata L.","Amazônia","MT","Total (abaixo+acima)","Seco","10,0","23,0","0,90","-","0,075*(d^2,475)","Robortella (2010)"
"Cedrela odorata L.","Amazônia","MT","Total (abaixo+acima)","Seco","10,0","23,0","0,79","-","0,032*(((d^2)*ht)^0,982)","Robortella (2010)"
"Cedrela odorata L.","Amazônia","MT","Total (abaixo+acima)","Seco","10,0","23,0","0,90","-","exp(-2,294+2,365*log(d))","Robortella (2010)"
"Cedrela odorata L.","Amazônia","MT","Total (abaixo+acima)","Seco","10,0","23,0","0,85","-","exp(-4,297+1,673*log(d*ht))","Robortella (2010)"
"Cedrela odorata L.","Amazônia","MT","Total (abaixo+acima)","Seco","10,0","23,0","0,90","-","exp(-2,19+2,285*log(d)-0,257*log(hf/ht))","Robortella (2010)"
"Ceiba speciosa 
(A.St.-Hil.) Ravenna","Amazônia","MT","Total (abaixo+acima)","Seco","10,0","42,0","0,90","-","-26,471+2,745*d","Robortella (2010)"
"Ceiba speciosa 
(A.St.-Hil.) Ravenna","Amazônia","MT","Total (abaixo+acima)","Seco","10,0","42,0","0,95","-","10,025+0,006*((d^2)*ht)","Robortella (2010)"
"Ceiba speciosa 
(A.St.-Hil.) Ravenna","Amazônia","MT","Total (abaixo+acima)","Seco","10,0","42,0","0,91","-","-33,106+2,422*d+2,229*ht","Robortella (2010)"
"Ceiba speciosa 
(A.St.-Hil.) Ravenna","Amazônia","MT","Total (abaixo+acima)","Seco","10,0","42,0","0,92","-","0,135*(d^1,749)","Robortella (2010)"
"Ceiba speciosa 
(A.St.-Hil.) Ravenna","Amazônia","MT","Total (abaixo+acima)","Seco","10,0","42,0","0,95","-","0,074*(((d^2)*ht)^0,742)","Robortella (2010)"
"Ceiba speciosa 
(A.St.-Hil.) Ravenna","Amazônia","MT","Total (abaixo+acima)","Seco","10,0","42,0","0,97","-","exp(-1,843+1,701*log(d))","Robortella (2010)"
"Ceiba speciosa 
(A.St.-Hil.) Ravenna","Amazônia","MT","Total (abaixo+acima)","Seco","10,0","42,0","0,97","-","exp(-1,857+1,071*log(d*ht))","Robortella (2010)"
"Ceiba speciosa 
(A.St.-Hil.) Ravenna","Amazônia","MT","Total (abaixo+acima)","Seco","10,0","42,0","0,97","-","exp(-1,840+1,702*log(d)+0,011*log(hf/ht))","Robortella (2010)"
"Croton floribundus Spreng.","Cerrado","SP","Acima 
(tronco+galhos+folhas)","Seco","5,0","27,9","0,99","21,0%","exp(-2,7218+2,6172*log(d)-0,2518*log(ht))","Nicodemo et al. (2016)"
"Croton floribundus Spreng.","Cerrado","SP","Acima 
(tronco+galhos+folhas)","Seco","5,0","27,9","0,99","21,0%","exp(-2,7652+2,3953*log(d)+0,0076*d)","Nicodemo et al. (2016)"
"Croton floribundus Spreng.","Cerrado","SP","Acima 
(tronco+galhos+folhas)","Seco","5,0","27,9","0,98","21,9%","exp(-3,3561+0,9666*log((d^2)*ht))","Nicodemo et al. (2016)"
"Croton floribundus Spreng.","Cerrado","SP","Acima 
(tronco+galhos+folhas)","Seco","5,0","27,9","0,98","20,0%","exp(-2,8564+2,4771*log(d))","Nicodemo et al. (2016)"
"Handroanthus chrysotrichus(Mart. ex DC.) Mattos","Amazônia","MT","Total (abaixo+acima)","Seco","5,0","12,0","0,92","-","-23,873+5,266*d","Robortella (2010)"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Espécies nativas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Espécie","Bioma","Estado","Compartimento","Peso","d mín.","d máx.","R2/R2aj","Syx","Equação","Autor"
"Handroanthus chrysotrichus(Mart. ex DC.) Mattos","Amazônia","MT","Total (abaixo+acima)","Seco","5,0","12,0","0,92","-","6,005+0,029*d^2*ht","Robortella (2010)"
"Handroanthus chrysotrichus(Mart. ex DC.) Mattos","Amazônia","MT","Total (abaixo+acima)","Seco","5,0","12,0","0,92","-","-24,096+5,184*d+0,151*ht","Robortella (2010)"
"Handroanthus chrysotrichus(Mart. ex DC.) Mattos","Amazônia","MT","Total (abaixo+acima)","Seco","5,0","12,0","0,95","-","0,216*(d^2,102)","Robortella (2010)"
"Handroanthus chrysotrichus(Mart. ex DC.) Mattos","Amazônia","MT","Total (abaixo+acima)","Seco","5,0","12,0","0,92","-","0,217*(d^2*ht)^0,738","Robortella (2010)"
"Handroanthus chrysotrichus(Mart. ex DC.) Mattos","Amazônia","MT","Total (abaixo+acima)","Seco","5,0","12,0","0,96","-","exp(-1,442+2,058*log(d))","Robortella (2010)"
"Handroanthus chrysotrichus(Mart. ex DC.) Mattos","Amazônia","MT","Total (abaixo+acima)","Seco","5,0","12,0","0,88","-","exp(-1,299+1,079*log(d*ht))","Robortella (2010)"
"Handroanthus chrysotrichus(Mart. ex DC.) Mattos","Amazônia","MT","Total (abaixo+acima)","Seco","5,0","12,0","0,98","-","exp(-1,888+2,119*log(d)-0,474*log(hf/ht))","Robortella (2010)"
"Mimosa caesalpiniifolia Benth.","Caatinga","RN","Acima 
(tronco+galhos+folhas)","Fresco","5,2","8,2","0,47","26,3%","10,768942+0,025453*d^2*ht","Lucena et al. (2020)"
"Mimosa caesalpiniifolia Benth.","Caatinga","RN","Acima 
(tronco+galhos+folhas)","Fresco","5,2","8,2","0,44","27,2%","4,444731+0,340263*(d*ht)","Lucena et al. (2020)"
"Mimosa caesalpiniifolia Benth.","Caatinga","RN","Acima 
(tronco+galhos+folhas)","Fresco","5,2","8,2","0,63","22,3%","7,134411+0,218501*(d^2)","Lucena et al. (2020)"
"Mimosa caesalpiniifolia Benth.","Caatinga","RN","Acima 
(tronco+galhos+folhas)","Fresco","5,2","8,2","0,71","13,7%","exp(-0,119429+log(d)*1,527954)","Lucena et al. (2020)"
"Mimosa caesalpiniifolia Benth.","Caatinga","RN","Acima 
(tronco+galhos+folhas)","Fresco","5,2","8,2","0,47","28,7%","exp(-1,058530+log(d*ht)*1,051996)","Lucena et al. (2020)"
"Mimosa scabrella Benth.","Mata Atlântica","PR","Acima 
(tronco+galhos+folhas)","Seco","3,0","17,1","0,98","17,7%","0,210100*(d^2,249997)","Baggio et al. (1995)"
"Mimosa scabrella Benth.","Mata Atlântica","PR","Acima 
(tronco+galhos+folhas)","Seco","3,0","17,1","0,98","18,8%","0,418376*(d^2)","Baggio et al. (1995)"
"Mimosa scabrella Benth.","Mata Atlântica","PR","Acima 
(tronco+galhos+folhas)","Seco","3,0","17,1","0,97","22,1%","0,030184*((d^2)*ht)","Baggio et al. (1995)"
"Schinus terebinthifolia Raddi","Amazônia","MT","Total (abaixo+acima)","Seco","10,0","15,0","0,63","-","-107,081+15,890*d","Robortella (2010)"
"Schinus terebinthifolia Raddi","Amazônia","MT","Total (abaixo+acima)","Seco","10,0","15,0","0,58","-","16,523+0,041*((d^2)*ht)","Robortella (2010)"
"Schinus terebinthifolia Raddi","Amazônia","MT","Total (abaixo+acima)","Seco","10,0","15,0","0,64","-","-115,015+15,590*d+1,027*ht","Robortella (2010)"
"Schinus terebinthifolia Raddi","Amazônia","MT","Total (abaixo+acima)","Seco","10,0","15,0","0,67","-","0,253*(d^2,324)","Robortella (2010)"
"Schinus terebinthifolia Raddi","Amazônia","MT","Total (abaixo+acima)","Seco","10,0","15,0","0,58","-","0,160*(((d^2)*ht)^0,847)","Robortella (2010)"
"Schinus terebinthifolia Raddi","Amazônia","MT","Total (abaixo+acima)","Seco","10,0","15,0","0,59","-","exp(-0,441+1,951*log(d))","Robortella (2010)"
"Schinus terebinthifolia Raddi","Amazônia","MT","Total (abaixo+acima)","Seco","10,0","15,0","0,42","-","exp(-0,005+0,906*log(d*ht))","Robortella (2010)"
"Schinus terebinthifolia Raddi","Amazônia","MT","Total (abaixo+acima)","Seco","10,0","15,0","0,60","-","exp(-0,546+2,027*log(d)+0,117*log(hf/ht))","Robortella (2010)"
"Schinus terebinthifolia Raddi","Mata Atlântica","PR","Acima 
(tronco+galhos+folhas)","Seco","-","-","0,78","25,5%","-0,325050+0,261156*(d^2)","Sanquetta et al. (2015b)"
"Schinus terebinthifolia Raddi","Mata Atlântica","PR","Acima 
(tronco+galhos+folhas)","Seco","-","-","0,76","26,0%","1,766874+0,0300107*(d^2)*ht","Sanquetta et al. (2015b)"
"Schinus terebinthifolia Raddi","Mata Atlântica","PR","Acima 
(tronco+galhos+folhas)","Seco","-","-","0,75","26,4%","exp(-1,338270+1,976655*log(d))","Sanquetta et al. (2015b)"
"Schinus terebinthifolia Raddi","Mata Atlântica","PR","Acima 
(tronco+galhos+folhas)","Seco","-","-","0,76","27,6%","exp(-2,364490+1,862581*log(d)+0,626321*log(ht))","Sanquetta et al. (2015b)"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Espécies nativas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Espécie","Bioma","Estado","Compartimento","Peso","d mín.","d máx.","R2/R2aj","Syx","Equação","Autor"
"Schizolobium parahyba 
var. amazonicum","Mata Atlântica","ES","Acima 
(tronco+galhos+folhas)","Seco","-","-","0,81","10,3%","-128,9+5,067*d+7,275*ht","Oliveira (2022)²"
"Schizolobium parahyba 
var. amazonicum","Mata Atlântica","ES","Acima 
(tronco+galhos+folhas)","Seco","-","-","0,97","6,3%","11,35+0,0139*(d^2*ht)","Oliveira (2022)³"
"Schizolobium parahyba 
var. amazonicum","Mata Atlântica","ES","Acima 
(tronco+galhos+folhas)","Seco","-","-","0,93","7,2%","-24,82+0,6791*d^2-0,0160*(d^2*ht)","Oliveira (2022)4"
"Schizolobium parahyba 
var. amazonicum","Mata Atlântica","ES","Acima 
(tronco+galhos+folhas)","Seco","-","-","0,94","8,6%","-11,323296+0,313999*d^2+0,001973*d^2*ht","Delarmelina (2019)¹"
"Tabebuia aurea (Silva Manso) Benth. & Hook.f. ex S.Moore","Amazônia","MT","Total (abaixo+acima)","Seco","10,0","20,0","0,95","-","-115,094+13,835*d","Robortella (2010)"
"Tabebuia aurea (Silva Manso) Benth. & Hook.f. ex S.Moore","Amazônia","MT","Total (abaixo+acima)","Seco","10,0","20,0","0,94","-","11,258+0,035*((d^2)*ht)","Robortella (2010)"
