"Espécie","Bioma","Estado","Compartimento","Peso","d mín.","d máx.","R2/R2aj","Syx","Equação","Autor"
"Várias","Amazônia","AM","Acima 
(tronco+galhos+folhas)","Seco","20,0","120,0","0,91","1497 kg","exp(-2,088+1,837*log(d)+0,939*log(ht))","Higuchi et al. (1998)"
"Várias","Amazônia","AM","Acima 
(tronco+galhos+folhas)","Seco","5,0","120,0","0,98","812 kg","exp(-2,694+2,038*log(d)+0,902*log(ht))","Higuchi et al. (1998)"
"Várias","Amazônia","AM","Acima 
(tronco+galhos+folhas)","Seco","5,0","20,0","0,94","34 kg","0,0056+0,621*((d/100)^2)*ht*1000","Higuchi et al. (1998)"
"Várias","Amazônia","AM","Acima 
(tronco+galhos+folhas)","Seco","20,0","120,0","0,86","1508 kg","0,393+0,473*((d/100)^2)*ht*1000","Higuchi et al. (1998)"
"Várias","Amazônia","AM","Acima 
(tronco+galhos+folhas)","Seco","5,0","120,0","0,90","716 kg","0,077+0,492*((d/100)^2)*ht*1000","Higuchi et al. (1998)"
"Várias","Amazônia","AM","Acima 
(tronco+galhos+folhas)","Seco","5,0","20,0","0,94","31 kg","0,0336*(d^2,171)*(ht^1,038)","Higuchi et al. (1998)"
"Várias","Amazônia","AM","Acima 
(tronco+galhos+folhas)","Seco","20,0","120,0","0,92","1159 kg","0,0009*(d^1,585)*(ht^2,651)","Higuchi et al. (1998)"
"Várias","Amazônia","AM","Acima 
(tronco+galhos+folhas)","Seco","5,0","120,0","0,94","540 kg","0,001*(d^1,579)*(ht^2,621)","Higuchi et al. (1998)"
"Várias","Amazônia","AM","Acima 
(tronco+galhos+folhas)","Seco","1,0","5,0","96,20","-","exp(-1,7689+2,3770*log(d))","Nascimento e Laurance (2002)"
"Várias","Amazônia","AM","Acima 
(tronco+galhos+folhas)","Seco","1,2","28,6","0,98","-","exp(-1,9968+2,4128*log(d))","Nelson et al. (1999)"
"Várias","Amazônia","AM","Acima 
(tronco+galhos+folhas)","Seco","1,2","28,6","0,99","-","exp(-2,5202+2,14*log(d)+0,4644*log(ht))","Nelson et al. (1999)"
"Várias","Amazônia","AM","Total (abaixo+acima)","Seco","5,0","124,0","0,96","30,6%","exp(-1,716+2,413*log(d))","Nogueira et al. (2008)"
"Várias","Amazônia","PA","Acima 
(tronco+galhos+folhas)","Fresco","10,0","138,0","0,87","-","4,06*(d^1,76)","Araújo et al. (1999)"
"Várias","Amazônia","PA","Acima 
(tronco+galhos+folhas)","Fresco","10,0","138,0","0,88","-","400,32+39,99*d+0,97*(d^2)","Araújo et al. (1999)"
"Várias","Amazônia","PA","Acima 
(tronco+galhos+folhas)","Fresco","10,0","138,0","0,90","-","318,09+38,12*d+0,03*(d^2)*ht","Araújo et al. (1999)"
"Várias","Amazônia","PA","Acima 
(tronco+galhos+folhas)","Fresco","10,0","138,0","0,88","-","175,83+0,79*(d^2)+0,07*(d^2)*ht","Araújo et al. (1999)"
"Várias","Amazônia","PA","Acima 
(tronco+galhos+folhas)","Fresco","10,0","138,0","0,82","-","533,26+130,22*d+51*ht","Araújo et al. (1999)"
"Várias","Amazônia","PA","Acima 
(tronco+galhos+folhas)","Fresco","10,0","138,0","0,92","-","0,026*(d^1,529)*(ht^1,747)","Araújo et al. (1999)"
"Várias","Amazônia","PA","Acima 
(tronco+galhos+folhas)","Fresco","5,0","20,0","0,97","24,5%","exp(-
2,4768+2,2301*log(d/100)+0,6518*log(ht))*1000","Higuchi et al. (1994)"
"Várias","Amazônia","PA","Acima 
(tronco+galhos+folhas)","Fresco","20,0","-","0,92","37,3%","exp(-
3,8102+1,4631*log(d/100)+1,8190*log(ht))*1000","Higuchi et al. (1994)"
"Várias","Amazônia","PA","Acima 
(tronco+galhos+folhas)","Seco","1,0","21,4","0,97","68,0%","0,2237*(d^2,260)","Ducey et al. (2009)"
"Várias","Amazônia","PA","Acima 
(tronco+galhos+folhas)","Seco","1,0","21,4","0,94","98,0%","0,0985*(d^1,879)*(ht^0,7355)","Ducey et al. (2009)"
"Várias","Amazônia","PA","Acima 
(tronco+galhos+folhas)","Seco","10,0","-","0,96","-","exp(-2,17+1,02*log(d^2)+0,39*log(ht))","Uhl et al. (1988)¹"
"Várias","Amazônia","PA","Acima 
(tronco+galhos+folhas)","Seco","50,0","-","0,53","2,0%","23182,772-506,494*(d)+3,434*d^2+0,123*(d*hf)-0,002*d^2*hf","Lima et al. (2019)4"
"Várias","Cerrado","MG","Acima 
(tronco+galhos+folhas)","Seco","5,0","40,0","97,34","30,8%","exp(-10,9240874854+2,1188422024*
log(d)+0,9848179885*log(ht))*1000","Scolforo et al. (2008)5"
"Várias","Cerrado","MG","Acima 
(tronco+galhos+folhas)","Seco","5,0","40,0","97,81","32,0%","exp(-10,5678122652+2,0679586507*
log(d)+0,8722223725*log(ht))*1000","Scolforo et al. (2008)5"
"Várias","Cerrado","MG","Acima 
(tronco+galhos+folhas)","Seco","5,0","40,0","97,66","35,0%","exp(-10,6409194002+2,1533324963*
log(d)+0,8248143766*log(ht))*1000","Scolforo et al. (2008)5"
"Várias","Mata Atlântica","SC","Acima 
(tronco+galhos+folhas)","Seco","5,4","56,0","0,86","33,9 kg","25,9310+0,0258*(d^2)*ht","Uller et al. (2019)"
"Várias","Mata Atlântica","SC","Acima 
(tronco+galhos+folhas)","Seco","5,4","56,0","0,88","22,3 kg","-48,4365+0,6467*(d^2)","Uller et al. (2019)"
"Várias","Mata Atlântica","SC","Acima 
(tronco+galhos+folhas)","Seco","5,4","56,0","0,87","27,3 kg","exp(-2,3702+2,5179*log(d))","Uller et al. (2019)"
"Várias","Mata Atlântica","SC","Acima 
(tronco+galhos+folhas)","Seco","5,4","56,0","0,86","30,6 kg","exp(-
3,078059+1,068174*log(d^2)+0,661610*log(ht))","Uller et al. (2019)6"
"Várias","Mata Atlântica","SC","Acima 
(tronco+galhos+folhas)","Seco","5,4","56,0","0,86","33,6 kg","exp(-3,4062+0,9774*log((d^2)*ht))","Uller et al. (2019)"
"Várias","Mata Atlântica","SP","Abaixo (raízes)","Seco","2,0","33,3","-","-","exp(-2,960+1,072*log(d^2))","Nogueira Júnior et al. (2014)"
"Várias","Mata Atlântica","SP","Abaixo (raízes)","Seco","2,0","33,3","-","-","exp(-3,535+0,832*log((d^2)*ht))","Nogueira Júnior et al. (2014)"
"Várias","Mata Atlântica","SP","Acima 
(tronco+galhos+folhas)","Seco","5,4","68,5","0,94","-","exp(-2,245+2,388*log(d))","Colmanetti et al. (2018)"
"Várias","Mata Atlântica","SP","Acima 
(tronco+galhos+folhas)","Seco","2,0","33,3","-","-","-13,127+0,428*(d^2)","Nogueira Júnior et al. (2014)"
"Várias","Mata Atlântica","SP","Acima 
(tronco+galhos+folhas)","Seco","2,0","33,3","-","-","exp(-1,890+1,127*log(d^2))","Nogueira Júnior et al. (2014)"
"Várias","Mata Atlântica","SP","Acima 
(tronco+galhos+folhas)","Seco","2,0","33,3","-","-","exp(-2,541+0,883*log((d^2)*ht))","Nogueira Júnior et al. (2014)"
"Várias","Mata Atlântica","SP","Acima 
(tronco+galhos+folhas)","Seco","2,1","67,8","0,94","11,3%","exp(-2,052+0,801*log(d^2*ht))","Moreira-Burguer e Delitti (2010)7"
"Vismia cayennensis 
(Jacq.) Pers.","Amazônia","AM","Acima 
(tronco+galhos+folhas)","Seco","1,6","21,8","0,99","-","exp(-2,3706+2,5392*log(d))","Nelson et al. (1999)"
"Vismia cayennensis 
(Jacq.) Pers.","Amazônia","AM","Acima 
(tronco+galhos+folhas)","Seco","1,6","21,8","0,99","-","exp(-2,4240+2,4855*log(d)+0,0738*log(ht))","Nelson et al. (1999)"
"Vismia cayennensis 
(Jacq.) Pers.","Amazônia","AM","Acima 
(tronco+galhos+folhas)","Seco","1,6","21,8","0,99","-","exp(-2,0762+0,4759*log((d^4,6)*ht))","Nelson et al. (1999)"
"Vismia guianensis 
(Aubl.) Choisy","Amazônia","PA","Acima 
(tronco+galhos+folhas)","Seco","10,0","-","1,00","-","exp(-3,54+1,13*log(d^2)+0,77*log(ht))","Uhl et al. (1988)¹"
"Vismia japurensis Reichardt","Amazônia","AM","Acima 
(tronco+galhos+folhas)","Seco","1,5","28,6","0,99","-","exp(-1,7829+2,3651*log(d))","Nelson et al. (1999)"
"Vismia japurensis Reichardt","Amazônia","AM","Acima 
(tronco+galhos+folhas)","Seco","1,5","28,6","0,99","-","exp(-2,0118+2,2337*log(d)+0,1877*log(ht))","Nelson et al. (1999)"
"Vismia japurensis Reichardt","Amazônia","AM","Acima 
(tronco+galhos+folhas)","Seco","1,5","28,6","0,99","-","exp(-2,3362+0,4560*log((d^4,6)*ht))","Nelson et al. (1999)"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"¹ árvore em pasto abandonado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4fórmula redigitada após errata do autor 5 peso seco inclui apenas galhos >=3cm 6 eq. 6 da Tabela 6 com errata fornecida pelo autor 7floresta baixa de restinga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
