"Espécie","Bioma","Estado","Compartimento","Peso","d mín.","d máx.","R2/R2aj","Syx","Equação","Autor"
"Várias","Cerrado","MG","Acima 
(tronco+galhos+folhas)","Seco","5,0","40,0","96,37","55,2% exp(-","10,2622957616+2,1516946479*log(d)+0,7265663432*log(ht))*1000","Scolforo et al. (2008)¹"
"Várias","Cerrado","MG","Acima 
(tronco+galhos+folhas)","Seco","5,0","40,0","93,36","67,3% exp(-","10,4843366195+1,6816091448*log(d)+1,4063159347*log(ht))*1000","Scolforo et al. (2008)¹"
"Várias","Mata Atlântica","MG","Acima 
(tronco+galhos+folhas)","Seco","-","-","95,63",NA,"22,6% 0,0334430*(d^2,3979902)*(hf^0,426536)","Amaro et al. (2013)"
"Várias","Mata Atlântica","MG","Acima 
(tronco+galhos+folhas)","Seco","-","-","94,93",NA,"24,2% 0,028135*(d^2,306505)*(hf*0,557845)","Amaro et al. (2013)"
"Várias","Mata Atlântica","SP","Abaixo (raízes)","Seco","5,0","36,0","0,86",NA,"15,3% exp(-2,68610+2,08390*log(d))","Rasera (2019)"
"Várias","Mata Atlântica","SP","Abaixo (raízes)","Seco","5,0","36,0","0,87",NA,"12,3% exp(-3,79570+1,76660*log(d)+0,82990*log(ht))","Rasera (2019)"
"Várias","Mata Atlântica","SP","Abaixo (raízes)","Seco","5,0","36,0","0,88",NA,"12,2% exp(-3,84890+0,87380*log((d^2)*ht))","Rasera (2019)"
"Várias","Mata Atlântica","SP","Acima 
(tronco+galhos+folhas)","Seco","5,0","15,0","0,87","-","exp(-1,19829+1,98391*log(d))","Lacerda et al. (2009)³"
"Várias","Mata Atlântica","SP","Acima 
(tronco+galhos+folhas)","Seco","5,0","36,0","0,75",NA,"56,3% exp(-1,4309+2,0158*log(d))","Rasera (2019)"
"Várias","Mata Atlântica","SP","Acima 
(tronco+galhos+folhas)","Seco","5,0","36,0","0,78",NA,"51,1% exp(-2,6925+0,8610*log((d^2)*ht))","Rasera (2019)"
"Várias","Mata Atlântica","SP","Acima 
(tronco+galhos+folhas)","Seco","5,0","36,0","0,78",NA,"49,7% exp(-3,2369+1,5467*log(d)+1,2860*log(ht))","Rasera (2019)"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"¹ peso seco inclui apenas galhos >=3cm² cap - circunferência a altura do peito ³ tronco + galhada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
